"fips","MSA","year","population"
"F-18097","INDIANAPOLIS, IN",2010,903393
"F-18097","INDIANAPOLIS, IN",2000,860454
"F-18099","RURAL",2010,47051
"F-18099","RURAL",2000,45128
"F-18101","RURAL",2010,10334
"F-18101","RURAL",2000,10369
"F-18103","RURAL",2010,36903
"F-18103","RURAL",2000,36082
"F-18105","BLOOMINGTON, IN",2000,120563
"F-18105","BLOOMINGTON, IN",2010,137974
"F-18107","RURAL",2000,37629
"F-18107","RURAL",2010,38124
"F-18109","INDIANAPOLIS, IN",2000,66689
"F-18109","INDIANAPOLIS, IN",2010,68894
"F-18111","RURAL",2000,14566
"F-18111","RURAL",2010,14244
"F-18113","RURAL",2000,46275
"F-18113","RURAL",2010,47536
"F-18115","CINCINNATI, OH",2010,6128
"F-18115","CINCINNATI, OH",2000,5623
"F-18117","RURAL",2000,19306
"F-18117","RURAL",2010,19840
"F-18119","RURAL",2000,21786
"F-18119","RURAL",2010,21575
"F-18121","RURAL",2000,17241
"F-18121","RURAL",2010,17339
"F-18123","RURAL",2010,19338
"F-18123","RURAL",2000,18899
"F-18125","RURAL",2000,12837
"F-18125","RURAL",2010,12845
"F-18127","CHICAGO, IL",2000,146798
"F-18127","CHICAGO, IL",2010,164343
"F-18129","EVANSVILLE, IN",2000,27061
"F-18129","EVANSVILLE, IN",2010,25910
"F-18131","RURAL",2010,13402
"F-18131","RURAL",2000,13755
"F-18133","RURAL",2010,37963
"F-18133","RURAL",2000,36019
"F-18135","RURAL",2000,27401
"F-18135","RURAL",2010,26171
"F-18137","RURAL",2010,28818
"F-18137","RURAL",2000,26523
"F-18139","RURAL",2000,18261
"F-18139","RURAL",2010,17392
"F-18141","SOUTH BEND, IN",2010,266931
"F-18141","SOUTH BEND, IN",2000,265559
"F-18143","LOUISVILLE, KY",2000,22960
"F-18143","LOUISVILLE, KY",2010,24181
"F-18145","INDIANAPOLIS, IN",2000,43445
"F-18145","INDIANAPOLIS, IN",2010,44436
"F-18147","RURAL",2000,20391
"F-18147","RURAL",2010,20952
"F-18149","RURAL",2000,23556
"F-18149","RURAL",2010,23363
"F-18151","RURAL",2010,34185
"F-18151","RURAL",2000,33214
"F-18153","RURAL",2010,21475
"F-18153","RURAL",2000,21751
"F-18155","RURAL",2000,9065
"F-18155","RURAL",2010,10613
"F-18157","LAFAYETTE, IN",2010,172780
"F-18157","LAFAYETTE, IN",2000,148955
"F-18159","KOKOMO, IN",2010,15936
"F-18159","KOKOMO, IN",2000,16577
"F-18161","RURAL",2000,7349
"F-18161","RURAL",2010,7516
"F-18163","EVANSVILLE, IN",2010,179703
"F-18163","EVANSVILLE, IN",2000,171922
"F-18165","TERRE HAUTE, IN",2000,16788
"F-18165","TERRE HAUTE, IN",2010,16212
"F-18167","TERRE HAUTE, IN",2010,107848
"F-18167","TERRE HAUTE, IN",2000,105848
"F-18169","RURAL",2000,34960
"F-18169","RURAL",2010,32888
"F-18171","RURAL",2000,8419
"F-18171","RURAL",2010,8508
"F-18173","EVANSVILLE, IN",2010,59689
"F-18173","EVANSVILLE, IN",2000,52383
"F-18175","RURAL",2000,27223
"F-18175","RURAL",2010,28262
"F-18177","RURAL",2000,71097
"F-18177","RURAL",2010,68917
"F-18179","FORT WAYNE, IN",2000,27600
"F-18179","FORT WAYNE, IN",2010,27636
"F-18181","RURAL",2000,25267
"F-18181","RURAL",2010,24643
"F-18183","FORT WAYNE, IN",2010,33292
"F-18183","FORT WAYNE, IN",2000,30707
"F-19001","RURAL",2010,7682
"F-19001","RURAL",2000,8243
"F-19003","RURAL",2010,4029
"F-19003","RURAL",2000,4482
"F-19005","RURAL",2010,14330
"F-19005","RURAL",2000,14675
"F-19007","RURAL",2000,13721
"F-19007","RURAL",2010,12887
"F-19009","RURAL",2000,6830
"F-19009","RURAL",2010,6119
"F-19011","RURAL",2000,25308
"F-19011","RURAL",2010,26076
"F-19013","WATERLOO, IA",2010,131090
"F-19013","WATERLOO, IA",2000,128012
"F-19015","RURAL",2010,26306
"F-19015","RURAL",2000,26224
"F-19017","RURAL",2010,24276
"F-19017","RURAL",2000,23325
"F-19019","RURAL",2010,20958
"F-19019","RURAL",2000,21093
"F-19021","RURAL",2000,20411
"F-19021","RURAL",2010,20260
"F-19023","RURAL",2010,14867
"F-19023","RURAL",2000,15305
"F-19025","RURAL",2010,9670
"F-19025","RURAL",2000,11115
"F-19027","RURAL",2000,21421
"F-19027","RURAL",2010,20816
"F-19029","RURAL",2000,14684
"F-19029","RURAL",2010,13956
"F-19031","RURAL",2010,18499
"F-19031","RURAL",2000,18187
"F-19033","RURAL",2000,46447
"F-19033","RURAL",2010,44151
"F-19035","RURAL",2010,12072
"F-19035","RURAL",2000,13035
"F-19037","RURAL",2000,13095
"F-19037","RURAL",2010,12439
"F-19039","RURAL",2000,9133
"F-19039","RURAL",2010,9286
"F-19041","RURAL",2010,16667
"F-19041","RURAL",2000,17372
"F-19043","RURAL",2000,18678
"F-19043","RURAL",2010,18129
"F-19045","RURAL",2000,50149
"F-19045","RURAL",2010,49116
"F-19047","RURAL",2000,16942
"F-19047","RURAL",2010,17096
"F-19049","DES MOINES, IA",2010,66135
"F-19049","DES MOINES, IA",2000,40750
"F-19051","RURAL",2010,8753
"F-19051","RURAL",2000,8541
"F-19053","RURAL",2000,8689
"F-19053","RURAL",2010,8457
"F-19055","RURAL",2000,18404
"F-19055","RURAL",2010,17764
"F-19057","RURAL",2000,42351
"F-19057","RURAL",2010,40325
"F-19059","RURAL",2010,16667
"F-19059","RURAL",2000,16424
"F-19061","DUBUQUE, IA",2000,89143
"F-19061","DUBUQUE, IA",2010,93653
"F-19063","RURAL",2000,11027
"F-19063","RURAL",2010,10302
"F-19065","RURAL",2000,22008
"F-19065","RURAL",2010,20880
"F-19067","RURAL",2000,16900
"F-19067","RURAL",2010,16303
"F-19069","RURAL",2000,10704
"F-19069","RURAL",2010,10680
"F-19071","RURAL",2010,7441
"F-19071","RURAL",2000,8010
"F-19073","RURAL",2010,9336
"F-19073","RURAL",2000,10366
"F-19075","RURAL",2000,12369
"F-19075","RURAL",2010,12453
"F-19077","RURAL",2000,11353
"F-19077","RURAL",2010,10954
"F-19079","RURAL",2010,15673
"F-19079","RURAL",2000,16438
"F-19081","RURAL",2000,12100
"F-19081","RURAL",2010,11341
"F-19083","RURAL",2000,18812
"F-19083","RURAL",2010,17534
"F-19085","RURAL",2010,14928
"F-19085","RURAL",2000,15666
"F-19087","RURAL",2010,20145
"F-19087","RURAL",2000,20336
"F-19089","RURAL",2010,9566
"F-19089","RURAL",2000,9932
"F-19091","RURAL",2000,10381
"F-19091","RURAL",2010,9815
"F-19093","RURAL",2000,7837
"F-19093","RURAL",2010,7089
"F-19095","RURAL",2010,16355
"F-19095","RURAL",2000,15671
"F-19097","RURAL",2000,20296
"F-19097","RURAL",2010,19848
"F-19099","RURAL",2010,36842
"F-19099","RURAL",2000,37213
"F-19101","RURAL",2000,16181
"F-19101","RURAL",2010,16843
"F-19103","IOWA CITY, IA",2000,111006
"F-19103","IOWA CITY, IA",2010,130882
"F-19105","RURAL",2010,20638
"F-19105","RURAL",2000,20221
"F-19107","RURAL",2010,10511
"F-19107","RURAL",2000,11400
"F-19109","RURAL",2000,17163
"F-19109","RURAL",2010,15543
"F-19111","RURAL",2000,38052
"F-19111","RURAL",2010,35862
"F-19113","CEDAR RAPIDS, IA",2010,211226
"F-19113","CEDAR RAPIDS, IA",2000,191701
"F-19115","RURAL",2010,11387
"F-19115","RURAL",2000,12183
"F-19117","RURAL",2010,8898
"F-19117","RURAL",2000,9422
"F-19119","RURAL",2000,11763
"F-19119","RURAL",2010,11581
"F-19121","RURAL",2010,15679
"F-19121","RURAL",2000,14019
"F-19123","RURAL",2010,22381
"F-19123","RURAL",2000,22335
"F-19125","RURAL",2010,33309
"F-19125","RURAL",2000,32052
"F-19127","RURAL",2000,39311
"F-19127","RURAL",2010,40648
"F-19129","RURAL",2000,14547
"F-19129","RURAL",2010,15059
"F-19131","RURAL",2010,10776
"F-19131","RURAL",2000,10874
"F-19133","RURAL",2010,9243
"F-19133","RURAL",2000,10020
"F-19135","RURAL",2010,7970
"F-19135","RURAL",2000,8016
"F-19137","RURAL",2000,11771
"F-19137","RURAL",2010,10740
"F-19139","RURAL",2010,42745
"F-19139","RURAL",2000,41722
"F-19141","RURAL",2000,15102
"F-19141","RURAL",2010,14398
"F-19143","RURAL",2000,7003
"F-19143","RURAL",2010,6462
"F-19145","RURAL",2010,15932
"F-19145","RURAL",2000,16976
"F-19147","RURAL",2010,9421
"F-19147","RURAL",2000,10147
"F-19149","RURAL",2010,24986
"F-19149","RURAL",2000,24849
"F-19151","RURAL",2010,7310
"F-19151","RURAL",2000,8662
"F-19153","DES MOINES, IA",2010,430640
"F-19153","DES MOINES, IA",2000,374601
"F-19155","OMAHA, NE",2010,93158
"F-19155","OMAHA, NE",2000,87704
"F-19157","RURAL",2010,18914
"F-19157","RURAL",2000,18815
"F-19159","RURAL",2000,5469
"F-19159","RURAL",2010,5131
"F-19161","RURAL",2000,11529
"F-19161","RURAL",2010,10350
"F-19163","DAVENPORT, IA",2010,165224
"F-19163","DAVENPORT, IA",2000,158668
"F-19165","RURAL",2010,12167
"F-19165","RURAL",2000,13173
"F-19167","RURAL",2000,31589
"F-19167","RURAL",2010,33704
"F-19169","RURAL",2010,89542
"F-19169","RURAL",2000,79981
"F-19171","RURAL",2010,17767
"F-19171","RURAL",2000,18103
"F-19173","RURAL",2010,6317
"F-19173","RURAL",2000,6958
"F-19175","RURAL",2010,12534
"F-19175","RURAL",2000,12309
"F-19177","RURAL",2010,7570
"F-19177","RURAL",2000,7809
"F-19179","RURAL",2000,36051
"F-19179","RURAL",2010,35625
"F-19181","DES MOINES, IA",2010,46225
"F-19181","DES MOINES, IA",2000,40671
"F-19183","RURAL",2000,20670
"F-19183","RURAL",2010,21704
"F-19185","RURAL",2010,6403
"F-19185","RURAL",2000,6730
"F-19187","RURAL",2010,38013
"F-19187","RURAL",2000,40235
"F-19189","RURAL",2010,10866
"F-19189","RURAL",2000,11723
"F-19191","RURAL",2010,21056
"F-19191","RURAL",2000,21310
"F-19193","SIOUX CITY, IA",2010,102172
"F-19193","SIOUX CITY, IA",2000,103877
"F-19195","RURAL",2010,7598
"F-19195","RURAL",2000,7909
"F-19197","RURAL",2010,13229
"F-19197","RURAL",2000,14334
"F-20001","RURAL",2000,14385
"F-20001","RURAL",2010,13371
"F-20003","RURAL",2010,8102
"F-20003","RURAL",2000,8110
"F-20005","RURAL",2000,16774
"F-20005","RURAL",2010,16924
"F-20007","RURAL",2010,4861
"F-20007","RURAL",2000,5307
"F-20009","RURAL",2010,27674
"F-20009","RURAL",2000,28205
"F-20011","RURAL",2000,15379
"F-20011","RURAL",2010,15173
"F-20013","RURAL",2010,9984
"F-20013","RURAL",2000,10724
"F-20015","WICHITA, KS",2000,59482
"F-20015","WICHITA, KS",2010,65880
"F-20017","RURAL",2000,3030
"F-20017","RURAL",2010,2790
"F-20019","RURAL",2010,3669
"F-20019","RURAL",2000,4359
"F-20021","RURAL",2000,22605
"F-20021","RURAL",2010,21603
"F-20023","RURAL",2010,2726
"F-20023","RURAL",2000,3165
"F-20025","RURAL",2000,2390
"F-20025","RURAL",2010,2215
"F-20027","RURAL",2010,8535
"F-20027","RURAL",2000,8822
"F-20029","RURAL",2010,9533
"F-20029","RURAL",2000,10268
"F-20031","RURAL",2000,8865
"F-20031","RURAL",2010,8601
"F-20033","RURAL",2010,1891
"F-20033","RURAL",2000,1967
"F-20035","RURAL",2010,36311
"F-20035","RURAL",2000,36291
"F-20037","RURAL",2000,38242
"F-20037","RURAL",2010,39134
"F-20039","RURAL",2000,3472
"F-20039","RURAL",2010,2961
"F-20041","RURAL",2010,19754
"F-20041","RURAL",2000,19344
"F-20043","RURAL",2010,7945
"F-20043","RURAL",2000,8249
"F-20045","LAWRENCE, KS",2010,110826
"F-20045","LAWRENCE, KS",2000,99962
"F-20047","RURAL",2010,3037
"F-20047","RURAL",2000,3449
"F-20049","RURAL",2010,2882
"F-20049","RURAL",2000,3261
"F-20051","RURAL",2010,28452
"F-20051","RURAL",2000,27507
"F-20053","RURAL",2010,6497
"F-20053","RURAL",2000,6525
"F-20055","RURAL",2010,36776
"F-20055","RURAL",2000,40523
"F-20057","RURAL",2010,33848
"F-20057","RURAL",2000,32458
"F-20059","RURAL",2000,24784
"F-20059","RURAL",2010,25992
"F-20061","RURAL",2000,27947
"F-20061","RURAL",2010,34362
"F-20063","RURAL",2000,3068
"F-20063","RURAL",2010,2695
"F-20065","RURAL",2000,2946
"F-20065","RURAL",2010,2597
"F-20067","RURAL",2010,7829
"F-20067","RURAL",2000,7909
"F-20069","RURAL",2010,6006
"F-20069","RURAL",2000,5904
"F-20071","RURAL",2010,1247
"F-20071","RURAL",2000,1534
"F-20073","RURAL",2010,6689
"F-20073","RURAL",2000,7673
"F-20075","RURAL",2010,2690
"F-20075","RURAL",2000,2670
"F-20077","RURAL",2000,6536
"F-20077","RURAL",2010,6034
"F-20079","WICHITA, KS",2010,34684
"F-20079","WICHITA, KS",2000,32869
"F-20081","RURAL",2010,4256
"F-20081","RURAL",2000,4307
"F-20083","RURAL",2000,2085
"F-20083","RURAL",2010,1916
"F-20085","RURAL",2000,12657
"F-20085","RURAL",2010,13462
"F-20087","RURAL",2010,19126
"F-20087","RURAL",2000,18426
"F-20089","RURAL",2000,3791
"F-20089","RURAL",2010,3077
"F-20091","KANSAS CITY, MO",2010,544179
"F-20091","KANSAS CITY, MO",2000,451086
"F-20093","RURAL",2010,3977
"F-20093","RURAL",2000,4531
"F-20095","RURAL",2010,7858
"F-20095","RURAL",2000,8673
"F-20097","RURAL",2000,3278
"F-20097","RURAL",2010,2553
"F-20099","RURAL",2000,22835
"F-20099","RURAL",2010,21607
"F-20101","RURAL",2000,2155
"F-20101","RURAL",2010,1750
"F-20103","KANSAS CITY, MO",2010,76227
"F-20103","KANSAS CITY, MO",2000,68691
"F-20105","RURAL",2010,3241
"F-20105","RURAL",2000,3578
"F-20107","RURAL",2010,9656
"F-20107","RURAL",2000,9570
"F-20109","RURAL",2010,2756
"F-20109","RURAL",2000,3046
"F-20111","RURAL",2010,33690
"F-20111","RURAL",2000,35935
"F-20113","RURAL",2000,29554
"F-20113","RURAL",2010,29180
"F-20115","RURAL",2000,13361
"F-20115","RURAL",2010,12660
"F-20117","RURAL",2010,10117
"F-20117","RURAL",2000,10965
"F-20119","RURAL",2000,4631
"F-20119","RURAL",2010,4575
"F-20121","KANSAS CITY, MO",2000,28351
"F-20121","KANSAS CITY, MO",2010,32787
"F-20123","RURAL",2010,6373
"F-20123","RURAL",2000,6932
"F-20125","RURAL",2010,35471
"F-20125","RURAL",2000,36252
"F-20127","RURAL",2000,6104
"F-20127","RURAL",2010,5923
"F-20129","RURAL",2010,3233
"F-20129","RURAL",2000,3496
"F-20131","RURAL",2010,10178
"F-20131","RURAL",2000,10717
"F-20133","RURAL",2010,16512
"F-20133","RURAL",2000,16997
"F-20135","RURAL",2000,3454
"F-20135","RURAL",2010,3107
"F-20137","RURAL",2000,5953
"F-20137","RURAL",2010,5671
"F-20139","RURAL",2010,16295
"F-20139","RURAL",2000,16712
"F-20141","RURAL",2000,4452
"F-20141","RURAL",2010,3858
"F-20143","RURAL",2000,6163
"F-20143","RURAL",2010,6091
"F-20145","RURAL",2010,6973
"F-20145","RURAL",2000,7233
"F-20147","RURAL",2010,5642
"F-20147","RURAL",2000,6001
"F-20149","RURAL",2000,18209
"F-20149","RURAL",2010,21604
"F-20151","RURAL",2010,9656
"F-20151","RURAL",2000,9647
"F-20153","RURAL",2000,2966
"F-20153","RURAL",2010,2519
"F-20155","RURAL",2010,64511
"F-20155","RURAL",2000,64790
"F-20157","RURAL",2000,5835
"F-20157","RURAL",2010,4980
"F-20159","RURAL",2010,10083
"F-20159","RURAL",2000,10761
"F-20161","RURAL",2010,71115
"F-20161","RURAL",2000,62843
"F-20163","RURAL",2010,5181
"F-20163","RURAL",2000,5685
"F-20165","RURAL",2010,3307
"F-20165","RURAL",2000,3551
"F-20167","RURAL",2000,7370
"F-20167","RURAL",2010,6970
"F-20169","RURAL",2010,55606
"F-20169","RURAL",2000,53597
"F-20171","RURAL",2010,4936
"F-20171","RURAL",2000,5120
"F-20173","WICHITA, KS",2000,452869
"F-20173","WICHITA, KS",2010,498365
"F-20175","RURAL",2010,22952
"F-20175","RURAL",2000,22510
"F-20177","TOPEKA, KS",2010,177934
"F-20177","TOPEKA, KS",2000,169871
"F-20179","RURAL",2000,2813
"F-20179","RURAL",2010,2556
"F-20181","RURAL",2000,6760
"F-20181","RURAL",2010,6010
"F-20183","RURAL",2000,4536
"F-20183","RURAL",2010,3853
"F-20185","RURAL",2010,4437
"F-20185","RURAL",2000,4789
"F-20187",NA,2000,2406
"F-20187",NA,2010,2235
"F-20189","RURAL",2000,5463
"F-20189","RURAL",2010,5724
"F-20191","RURAL",2000,25946
"F-20191","RURAL",2010,24132
"F-20193","RURAL",2010,7900
"F-20193","RURAL",2000,8180
"F-20195","RURAL",2010,3001
"F-20195","RURAL",2000,3319
"F-20197","RURAL",2000,6885
"F-20197","RURAL",2010,7053
"F-20199","RURAL",2000,1749
"F-20199","RURAL",2010,1485
"F-20201","RURAL",2000,6483
"F-20201","RURAL",2010,5799
"F-20203","RURAL",2010,2234
"F-20203","RURAL",2000,2531
"F-20205","RURAL",2010,9409
"F-20205","RURAL",2000,10332
"F-20207","RURAL",2010,3309
"F-20207","RURAL",2000,3788
"F-20209","KANSAS CITY, MO",2000,157882
"F-20209","KANSAS CITY, MO",2010,157505
"F-21001","RURAL",2010,18656
"F-21001","RURAL",2000,17244
"F-21003","RURAL",2000,17800
"F-21003","RURAL",2010,19956
"F-21005","RURAL",2010,21421
"F-21005","RURAL",2000,19111
"F-21007","RURAL",2010,8249
"F-21007","RURAL",2000,8286
"F-21009","RURAL",2010,42173
"F-21009","RURAL",2000,38033
"F-21011","RURAL",2010,11591
"F-21011","RURAL",2000,11085
"F-21013","RURAL",2010,28691
"F-21013","RURAL",2000,30060
"F-21015","CINCINNATI, OH",2000,85991
"F-21015","CINCINNATI, OH",2010,118811
"F-21017","LEXINGTON, KY",2000,19360
"F-21017","LEXINGTON, KY",2010,19985
"F-21019","HUNTINGTON, WV",2010,49542
"F-21019","HUNTINGTON, WV",2000,49752
"F-21021","RURAL",2010,28432
"F-21021","RURAL",2000,27697
"F-21023","RURAL",2010,8488
"F-21023","RURAL",2000,8279
"F-21025","RURAL",2000,16100
"F-21025","RURAL",2010,13878
"F-21027","RURAL",2000,18648
"F-21027","RURAL",2010,20059
"F-21029","LOUISVILLE, KY",2010,74319
"F-21029","LOUISVILLE, KY",2000,61236
"F-21031","RURAL",2000,13010
"F-21031","RURAL",2010,12690
"F-21033","RURAL",2000,13060
"F-21033","RURAL",2010,12984
"F-21035","RURAL",2000,34177
"F-21035","RURAL",2010,37191
"F-21037","CINCINNATI, OH",2000,88616
"F-21037","CINCINNATI, OH",2010,90336
"F-21039","RURAL",2000,5351
"F-21039","RURAL",2010,5104
"F-21041","RURAL",2010,10811
"F-21041","RURAL",2000,10155
"F-21043","HUNTINGTON, WV",2010,27720
"F-21043","HUNTINGTON, WV",2000,26889
"F-21045","RURAL",2010,15955
"F-21045","RURAL",2000,15447
"F-21047","CLARKSVILLE, TN",2010,73955
"F-21047","CLARKSVILLE, TN",2000,72265
"F-21049","LEXINGTON, KY",2010,35613
"F-21049","LEXINGTON, KY",2000,33144
"F-21051","RURAL",2010,21730
"F-21051","RURAL",2000,24556
"F-21053","RURAL",2000,9634
"F-21053","RURAL",2010,10272
"F-21055","RURAL",2010,9315
"F-21055","RURAL",2000,9384
"F-21057","RURAL",2000,7147
"F-21057","RURAL",2010,6856
"F-21059","OWENSBORO, KY",2000,91545
"F-21059","OWENSBORO, KY",2010,96656
"F-21061","RURAL",2010,12161
"F-21061","RURAL",2000,11644
"F-21063","RURAL",2010,7852
"F-21063","RURAL",2000,6748
"F-21065","RURAL",2000,15307
"F-21065","RURAL",2010,14672
"F-21067","LEXINGTON, KY",2010,295803
"F-21067","LEXINGTON, KY",2000,260512
"F-21069","RURAL",2010,14348
"F-21069","RURAL",2000,13792
"F-21071","RURAL",2010,39451
"F-21071","RURAL",2000,42441
"F-21073","RURAL",2000,47687
"F-21073","RURAL",2010,49285
"F-21075","RURAL",2010,6813
"F-21075","RURAL",2000,7752
"F-21077","CINCINNATI, OH",2000,7870
"F-21077","CINCINNATI, OH",2010,8589
"F-21079","RURAL",2010,16912
"F-21079","RURAL",2000,14792
"F-21081","CINCINNATI, OH",2000,22384
"F-21081","CINCINNATI, OH",2010,24662
"F-21083","RURAL",2000,37028
"F-21083","RURAL",2010,37121
"F-21085","RURAL",2010,25746
"F-21085","RURAL",2000,24053
"F-21087","RURAL",2010,11258
"F-21087","RURAL",2000,11518
"F-21089","HUNTINGTON, WV",2000,36891
"F-21089","HUNTINGTON, WV",2010,36910
"F-21091","RURAL",2000,8392
"F-21091","RURAL",2010,8565
"F-21093","RURAL",2010,105543
"F-21093","RURAL",2000,94174
"F-21095","RURAL",2010,29278
"F-21095","RURAL",2000,33202
"F-21097","RURAL",2010,18846
"F-21097","RURAL",2000,17983
"F-21099","RURAL",2010,18199
"F-21099","RURAL",2000,17445
"F-21101","EVANSVILLE, IN",2000,44829
"F-21101","EVANSVILLE, IN",2010,46250
"F-21103","RURAL",2010,15416
"F-21103","RURAL",2000,15060
"F-21105","RURAL",2010,4902
"F-21105","RURAL",2000,5262
"F-21107","RURAL",2010,46920
"F-21107","RURAL",2000,46519
"F-21109","RURAL",2000,13495
"F-21109","RURAL",2010,13494
"F-21111","LOUISVILLE, KY",2010,741096
"F-21111","LOUISVILLE, KY",2000,693604
"F-21113","LEXINGTON, KY",2010,48586
"F-21113","LEXINGTON, KY",2000,39041
"F-21115","RURAL",2000,23445
"F-21115","RURAL",2010,23356
"F-21117","CINCINNATI, OH",2010,159720
"F-21117","CINCINNATI, OH",2000,151464
"F-21119","RURAL",2010,16346
"F-21119","RURAL",2000,17649
"F-21121","RURAL",2000,31795
"F-21121","RURAL",2010,31883
"F-21123","RURAL",2010,14193
"F-21123","RURAL",2000,13373
"F-21125","RURAL",2000,52715
"F-21125","RURAL",2010,58849
"F-21127","RURAL",2010,15860
"F-21127","RURAL",2000,15569
"F-21129","RURAL",2010,7887
"F-21129","RURAL",2000,7916
"F-21131","RURAL",2010,11310
"F-21131","RURAL",2000,12401
"F-21133","RURAL",2010,24519
"F-21133","RURAL",2000,25277
"F-21135","RURAL",2010,13870
"F-21135","RURAL",2000,14092
"F-21137","RURAL",2010,24742
"F-21137","RURAL",2000,23361
"F-21139","RURAL",2010,9519
"F-21139","RURAL",2000,9804
"F-21141","RURAL",2010,26835
"F-21141","RURAL",2000,26573
"F-21143","RURAL",2000,8080
"F-21143","RURAL",2010,8314
"F-21145","RURAL",2010,65565
"F-21145","RURAL",2000,65514
"F-21147","RURAL",2010,18306
"F-21147","RURAL",2000,17080
"F-21149","RURAL",2000,9938
"F-21149","RURAL",2010,9531
"F-21151","LEXINGTON, KY",2010,82916
"F-21151","LEXINGTON, KY",2000,70872
"F-21153","RURAL",2010,13333
"F-21153","RURAL",2000,13332
"F-21155","RURAL",2010,19820
"F-21155","RURAL",2000,18212
"F-21157","RURAL",2010,31448
"F-21157","RURAL",2000,30125
"F-21159","RURAL",2000,12578
"F-21159","RURAL",2010,12929
"F-21161","RURAL",2010,17490
"F-21161","RURAL",2000,16800
"F-21163","RURAL",2000,26349
"F-21163","RURAL",2010,28602
"F-21165","RURAL",2010,6306
"F-21165","RURAL",2000,6556
"F-21167","RURAL",2000,20817
"F-21167","RURAL",2010,21331
"F-21169","RURAL",2000,10037
"F-21169","RURAL",2010,10099
"F-21171","RURAL",2010,10963
"F-21171","RURAL",2000,11756
"F-21173","RURAL",2010,26499
"F-21173","RURAL",2000,22554
"F-21175","RURAL",2000,13948
"F-21175","RURAL",2010,13923
"F-21177","RURAL",2000,31839
"F-21177","RURAL",2010,31499
"F-21179","RURAL",2000,37477
"F-21179","RURAL",2010,43437
"F-21181","RURAL",2000,6813
"F-21181","RURAL",2010,7135
"F-21183","RURAL",2000,22916
"F-21183","RURAL",2010,23842
"F-21185","LOUISVILLE, KY",2010,60316
"F-21185","LOUISVILLE, KY",2000,46178
"F-21187","RURAL",2010,10841
"F-21187","RURAL",2000,10547
"F-21189","RURAL",2000,4858
"F-21189","RURAL",2010,4755
"F-21191","CINCINNATI, OH",2010,14877
"F-21191","CINCINNATI, OH",2000,14390
"F-21193","RURAL",2000,29390
"F-21193","RURAL",2010,28712
"F-21195","RURAL",2000,68736
"F-21195","RURAL",2010,65024
"F-21197","RURAL",2000,13237
"F-21197","RURAL",2010,12613
"F-21199","RURAL",2000,56217
"F-21199","RURAL",2010,63063
"F-21201",NA,2010,2282
"F-21201",NA,2000,2266
"F-21203","RURAL",2010,17056
"F-21203","RURAL",2000,16582
"F-21205","RURAL",2010,23333
"F-21205","RURAL",2000,22094
"F-21207","RURAL",2000,16315
"F-21207","RURAL",2010,17565
"F-21209","LEXINGTON, KY",2010,47173
"F-21209","LEXINGTON, KY",2000,33061
"F-21211","RURAL",2000,33337
"F-21211","RURAL",2010,42074
"F-21213","RURAL",2000,16405
"F-21213","RURAL",2010,17327
"F-21215","RURAL",2010,17061
"F-21215","RURAL",2000,11766
"F-21217","RURAL",2000,22927
"F-21217","RURAL",2010,24512
"F-21219","RURAL",2010,12460
"F-21219","RURAL",2000,11971
"F-21221","RURAL",2010,14339
"F-21221","RURAL",2000,12597
"F-21223","RURAL",2010,8809
"F-21223","RURAL",2000,8125
"F-21225","RURAL",2010,15007
"F-21225","RURAL",2000,15637
"F-21227","RURAL",2010,113792
"F-21227","RURAL",2000,92522
"F-21229","RURAL",2010,11717
"F-21229","RURAL",2000,10916
"F-21231","RURAL",2000,19923
"F-21231","RURAL",2010,20813
"F-21233","RURAL",2010,13621
"F-21233","RURAL",2000,14120
"F-21235","RURAL",2010,35637
"F-21235","RURAL",2000,35865
"F-21237","RURAL",2000,7065
"F-21237","RURAL",2010,7355
"F-21239","LEXINGTON, KY",2010,24939
"F-21239","LEXINGTON, KY",2000,23208
"F-22001","LAFAYETTE, LA",2010,61773
"F-22001","LAFAYETTE, LA",2000,58861
"F-22003","RURAL",2000,25440
"F-22003","RURAL",2010,25764
"F-22005","BATON ROUGE, LA",2000,76627
"F-22005","BATON ROUGE, LA",2010,107215
"F-22007","RURAL",2000,23388
"F-22007","RURAL",2010,23421
"F-22009","RURAL",2010,42073
"F-22009","RURAL",2000,41481
"F-22011","RURAL",2010,35654
"F-22011","RURAL",2000,32986
"F-22013","RURAL",2010,14353
"F-22013","RURAL",2000,15752
"F-22015","SHREVEPORT, LA",2000,98310
"F-22015","SHREVEPORT, LA",2010,116979
"F-22017","SHREVEPORT, LA",2010,254969
"F-22017","SHREVEPORT, LA",2000,252161
"F-22019","LAKE CHARLES, LA",2000,183577
"F-22019","LAKE CHARLES, LA",2010,192768
"F-22021","RURAL",2000,10560
"F-22021","RURAL",2010,10132
"F-22023","RURAL",2010,6839
"F-22023","RURAL",2000,9991
"F-22025","RURAL",2010,10407
"F-22025","RURAL",2000,10920
"F-22027","RURAL",2000,16851
"F-22027","RURAL",2010,17195
"F-22029","RURAL",2000,20247
"F-22029","RURAL",2010,20822
"F-22031","RURAL",2000,25494
"F-22031","RURAL",2010,26656
"F-22033","BATON ROUGE, LA",2010,440171
"F-22033","BATON ROUGE, LA",2000,412852
"F-22035","RURAL",2000,9421
"F-22035","RURAL",2010,7759
"F-22037","RURAL",2000,21360
"F-22037","RURAL",2010,20267
